DATE,POILDUBUSDM
2009-05-01,57.3957142857143
2009-06-01,69.2109090909091
2009-07-01,64.9695652173913
2009-08-01,71.3242857142857
2009-09-01,67.9081818181818
2009-10-01,73.2754545454545
2009-11-01,77.6252380952381
2009-12-01,75.4665217391304
2010-01-01,76.7138095238095
2010-02-01,73.5535
2010-03-01,77.3678260869565
2010-04-01,82.9840909090909
2010-05-01,76.62
2010-06-01,73.9831818181818
2010-07-01,72.6522727272727
2010-08-01,74.345
2010-09-01,75.2863636363636
2010-10-01,80.3404761904762
2010-11-01,83.7418181818182
2010-12-01,89.1847826086957
2011-01-01,92.1866666666667
2011-02-01,99.875
2011-03-01,108.578260869565
2011-04-01,115.757619047619
2011-05-01,108.839545454545
2011-06-01,107.524545454545
2011-07-01,109.983333333333
2011-08-01,104.961739130435
2011-09-01,106.001818181818
2011-10-01,103.884285714286
2011-11-01,108.516818181818
2011-12-01,106.208636363636
2012-01-01,109.536818181818
2012-02-01,116.14619047619
2012-03-01,122.275909090909
2012-04-01,117.377142857143
2012-05-01,107.445652173913
2012-06-01,94.2361904761905
2012-07-01,99.22
2012-08-01,108.390869565217
2012-09-01,110.9645
2012-10-01,108.676086956522
2012-11-01,107.095909090909
2012-12-01,105.668571428571
2013-01-01,107.543043478261
2013-02-01,111.221
2013-03-01,105.482380952381
2013-04-01,101.661363636364
2013-05-01,100.299130434783
2013-06-01,100.3285
2013-07-01,103.362173913043
2013-08-01,106.664545454545
2013-09-01,108.404761904762
2013-10-01,106.394347826087
2013-11-01,105.85380952381
2013-12-01,107.943181818182
2014-01-01,104.188695652174
2014-02-01,104.942
2014-03-01,104.149523809524
2014-04-01,104.777272727273
2014-05-01,105.514545454545
2014-06-01,108.007619047619
2014-07-01,105.705217391304
2014-08-01,101.85380952381
2014-09-01,96.9881818181818
2014-10-01,86.7160869565217
2014-11-01,76.7345
2014-12-01,60.3917391304348
2015-01-01,46.335
2015-02-01,56.15
2015-03-01,54.9090909090909
2015-04-01,58.6654545454546
2015-05-01,63.6747619047619
2015-06-01,61.7586363636364
2015-07-01,56.2660869565217
2015-08-01,47.3033333333333
2015-09-01,46.1445454545455
2015-10-01,46.5518181818182
2015-11-01,42.3233333333333
2015-12-01,34.7026086956522
2016-01-01,27.2466666666667
2016-02-01,29.6147619047619
2016-03-01,35.1730434782609
2016-04-01,39.037619047619
2016-05-01,43.9645454545455
2016-06-01,45.8345454545455
2016-07-01,42.7095238095238
2016-08-01,43.6356521739131
2016-09-01,43.8172727272727
2016-10-01,48.2633333333333
2016-11-01,43.775
2016-12-01,51.7627272727273
2017-01-01,53.4345454545455
2017-02-01,54.171
2017-03-01,51.164347826087
2017-04-01,52.4475
2017-05-01,50.304347826087
