freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 
Q,GHG,TOTAL_HH,PCH_SM,CY	: 	: 	: 	: 	-2.07 s	-1.885 s	-12.299 s	-4.285 s	-6.206 s	-10.133 s	-0.084 s	-11.298 s	-16.949 s	-6.988 s	-10.571 s	-0.036 s	4.819 s	3.025 s	5.484 s	0.748 s	-0.827 s	-3.151 s	-0.943 s	-0.773 s	4.11 s	6.799 s	6.439 s	6.695 s	10.706 s	1.65 s	0.998 s	-0.488 s	-5.508 s	5.466 s	0.898 s	2.015 s	-0.006 s	-5.794 s	-0.33 s	-4.325 s	0.755 s	-16.689 s	1.751 s	4.398 s	-3.136 s	20.803 s	2.311 s	0.324 s
Q,GHG,TOTAL_HH,PCH_SM,CZ	: 	: 	: 	: 	-3.112 s	-0.268 s	-1.853 s	-3.461 s	0.734 s	-0.772 s	-7.8 s	-5.426 s	-4.888 s	-6.23 s	-1.646 s	-1.939 s	-2.944 s	-0.064 s	-0.97 s	-1.325 s	-0.06 s	-1.05 s	1.092 s	0.276 s	0.504 s	0.491 s	1.786 s	5.36 s	2.193 s	-1.253 s	-2.871 s	-3.137 s	0.434 s	-2.999 s	3.928 s	0.145 s	-5.754 s	-2.638 s	-6.966 s	-5.75 s	-2.075 s	-9.3 s	-2.419 s	2.947 s	5.574 s	15.342 s	8.333 s	8.386 s
Q,GHG,TOTAL_HH,PCH_SM,DE	: 	: 	: 	: 	-1.328 s	-3.878 s	-0.908 s	-4.989 s	1.832 s	1.827 s	0.267 s	0.648 s	2.973 s	1.909 s	2.635 s	-1.226 s	-7.746 s	-5.7 s	-5.065 s	-2.349 s	1.669 s	-0.03 s	4.372 s	0.342 s	-0.106 s	2.143 s	-4.123 s	0.939 s	2.205 s	-0.992 s	-0.003 s	-5.917 s	-4.539 s	-6.348 s	-1.04 s	0.282 s	-6.038 s	-2.518 s	-8.275 s	-5.123 s	-8.588 s	-18.994 s	-7.178 s	-2.487 s	3.499 s	18.952 s	4.064 s	5.263 s
Q,GHG,TOTAL_HH,PCH_SM,DK	: 	: 	: 	: 	1.965 s	1.472 s	-1.829 s	-6.041 s	-6.92 s	-7.197 s	-8.917 s	-4.723 s	-1.1 s	0.441 s	0.114 s	-5.814 s	-10.884 s	-9.467 s	-3.177 s	-3.344 s	0.97 s	3.678 s	-4.163 s	0.007 s	4.508 s	-0.406 s	5.719 s	4.436 s	-1.553 s	1.873 s	0.885 s	-0.636 s	2.93 s	2.523 s	1.659 s	0.219 s	-8.256 s	-7.775 s	-9.324 s	-8.247 s	-3.237 s	-7.528 s	0.308 s	-1.185 s	2.52 s	12.74 s	7.814 s	8.449 s
Q,GHG,TOTAL_HH,PCH_SM,EE	: 	: 	: 	: 	-0.262 s	1.86 s	2.976 s	-6.846 s	-9.453 s	-3.428 s	-3.148 s	4.333 s	14.826 s	14.875 s	15.5 s	-1.963 s	-12.745 s	-1.229 s	-5.408 s	1.188 s	-4.598 s	-17.956 s	-16.261 s	-17.157 s	-3.634 s	-3.955 s	17.915 s	20.399 s	19.643 s	24.893 s	-7.556 s	-6.709 s	-4.253 s	-8.643 s	3.543 s	-8.709 s	-16.425 s	-27.547 s	-36.345 s	-28.421 s	-39.101 s	-29.567 s	-1.521 s	-4.72 s	14.447 s	18.529 s	4.177 s	27.684 s
Q,GHG,TOTAL_HH,PCH_SM,EL	: 	: 	: 	: 	-1.034 s	-5.715 s	-6.015 s	2.225 s	1.283 s	-3.756 s	-2.833 s	-6.851 s	-19.032 s	-6.857 s	-6.46 s	-4.32 s	1.528 s	-2.165 s	-5.644 s	-4.791 s	-3.149 s	-4.887 s	-1.104 s	1.212 s	-4.483 s	-3.264 s	-3.263 s	1.988 s	10.112 s	6.35 s	6.487 s	-0.49 s	-5.971 s	-0.278 s	0.197 s	1.554 s	4.178 s	-1.13 s	-6.536 s	-14.789 s	-11.751 s	-22.238 s	-13.422 s	-7.333 s	-8.783 s	15.166 s	12.949 s	7.636 s
Q,GHG,TOTAL_HH,PCH_SM,ES	: 	: 	: 	: 	3 s	-0.876 s	0.302 s	-2.901 s	1.499 s	-1.418 s	-4.531 s	-3.733 s	-14.617 s	-8.868 s	-4.25 s	-1.537 s	-1.402 s	2.255 s	3.984 s	-0.566 s	8.625 s	3.388 s	1.3 s	1.437 s	-5.252 s	-4.66 s	-4.694 s	1.975 s	4.731 s	5.561 s	3.026 s	3.01 s	0.543 s	-0.279 s	-0.82 s	-4.823 s	-4.075 s	-3.516 s	-5.008 s	-7.989 s	-11.613 s	-28.685 s	-11.996 s	-10.206 s	-5.183 s	24.344 s	3.596 s	10.374 s
Q,GHG,TOTAL_HH,PCH_SM,EU27_2020	: 	: 	: 	: 	-0.517 s	-2.248 s	-2.068 s	-5.067 s	-1.072 s	-1.726 s	-1.894 s	-2.504 s	-2.965 s	-2.394 s	-1.634 s	-1.794 s	-6.617 s	-2.93 s	-2.295 s	-2.176 s	2.771 s	0.852 s	2.654 s	0.84 s	-0.833 s	0.055 s	-1.888 s	2.906 s	3.135 s	1.841 s	1.28 s	-1.948 s	-1.065 s	-3.821 s	-0.628 s	-1.735 s	-4.7 s	-0.881 s	-4.517 s	-4.713 s	-6.968 s	-18.794 s	-6.111 s	-4.132 s	1.068 s	19.416 s	5.538 s	8.062 s
Q,GHG,TOTAL_HH,PCH_SM,FI	: 	: 	: 	: 	-2.899 s	-6.98 s	-11.959 s	-19.746 s	-15.875 s	-10.244 s	-3.891 s	0.871 s	0.48 s	1.406 s	3.186 s	-1.644 s	-8.937 s	-6.942 s	-4.409 s	-5.661 s	-5.805 s	-4.838 s	-7.71 s	-2.779 s	6.721 s	4.319 s	3.227 s	7.367 s	-2.976 s	-1.987 s	-4.032 s	-9.88 s	1.385 s	-2.84 s	5.864 s	3.809 s	-5.178 s	-2.634 s	-5.417 s	-6.723 s	-11.075 s	-12.609 s	-11.106 s	-9.879 s	2.891 s	5.537 s	5.776 s	11.379 s
Q,GHG,TOTAL_HH,PCH_SM,FR	: 	: 	: 	: 	-1.459 s	-5.262 s	-4.533 s	-7.191 s	-0.85 s	1.072 s	1.155 s	-0.453 s	0.611 s	0.945 s	-0.325 s	-0.858 s	-9.953 s	-5.905 s	-4.458 s	-4.632 s	3.635 s	-1.465 s	0.692 s	-0.559 s	-3.6 s	1.875 s	-0.603 s	4.026 s	2.714 s	-0.31 s	1.213 s	-1.328 s	-2.054 s	-5.037 s	-3.227 s	-5.024 s	-4.455 s	2.43 s	-0.896 s	-3.262 s	-6.861 s	-23.357 s	-4.942 s	-3.446 s	2.606 s	25.423 s	2.653 s	6.822 s
