freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 
Q,GHG,TOTAL_HH,PCH_SM,PT	: 	: 	: 	: 	2.766 s	-1.037 s	-4.23 s	-4.68 s	0.684 s	-3.413 s	0.66 s	-6.999 s	-4.777 s	-0.987 s	-7.661 s	2.709 s	-6.314 s	-0.393 s	4 s	2.028 s	10.665 s	6.821 s	4.151 s	2.47 s	-6.377 s	-6.503 s	-0.7 s	0.22 s	11.25 s	11.101 s	4.624 s	2.37 s	-4.414 s	-6.372 s	-2.742 s	-5.121 s	-6.417 s	-2.216 s	-7.793 s	-2.303 s	-0.096 s	-21.563 s	-2.84 s	-3.054 s	-6.882 s	22.718 s	0.402 s	4.114 s
Q,GHG,TOTAL_HH,PCH_SM,RO	: 	: 	: 	: 	4.223 s	8.896 s	6.18 s	7.822 s	2.105 s	-5.171 s	0.536 s	-4.625 s	-9.734 s	-9.127 s	-6.524 s	-2.854 s	1.644 s	3.127 s	-0.928 s	-1.946 s	-2.676 s	-1.1 s	7.863 s	0.47 s	-0.804 s	0.242 s	-5.194 s	-1.712 s	5.781 s	3.672 s	2.657 s	1.351 s	2.186 s	-2.802 s	0.47 s	3.436 s	-3.96 s	-0.663 s	-3.01 s	-5.586 s	-1.318 s	-12.815 s	-4.519 s	-1.394 s	1.333 s	23.07 s	8.528 s	7.128 s
Q,GHG,TOTAL_HH,PCH_SM,SE	: 	: 	: 	: 	-7.686 	-5.518 	-4.819 	-15.244 	-7.954 	-6.347 	-4.415 	-0.169 	-0.741 	-0.01 	-0.161 	-6.265 	-7.595 	-1.414 	0.345 	1.651 	6.144 	2.178 	0.844 	2.722 	-1.727 	-1.195 	1.294 	0.979 	-4.784 	-1.367 	-1.524 	-3.7 	-0.739 	-2.489 	-3.54 	-2.635 	-1.867 	-2.519 	-0.967 	-5.599 	-11.188 	-11.859 	-9.925 	-7.588 	-3.495 	6.286 	3.438 	2.446 
Q,GHG,TOTAL_HH,PCH_SM,SI	: 	: 	: 	: 	1.392 s	4.462 s	-1.79 s	-5.021 s	-2.974 s	-3.023 s	-2.899 s	-5.969 s	-7.697 s	-10.382 s	1.822 s	2.361 s	-6.101 s	2.492 s	-11.861 s	-16.462 s	-2.226 s	-0.388 s	7.861 s	6.065 s	1.686 s	1.539 s	4.677 s	15.18 s	10.483 s	4.678 s	1.537 s	-5.912 s	0.175 s	-7.485 s	0.311 s	3.326 s	-6.054 s	6.737 s	-3.395 s	-2.437 s	-6.245 s	-14.287 s	0.767 s	2.203 s	6.769 s	12.072 s	-2.715 s	2.131 s
Q,GHG,TOTAL_HH,PCH_SM,SK	: 	: 	: 	: 	-0.287 s	0.991 s	-1.946 s	-5.48 s	-5.151 s	-8.903 s	-5.374 s	-1.096 s	-0.838 s	-0.673 s	-2.059 s	-0.748 s	-6.733 s	-3.939 s	-5.594 s	-2.81 s	2.456 s	2.508 s	3.897 s	0.153 s	-1.577 s	0.039 s	1.966 s	3.419 s	3.642 s	1.9 s	3.311 s	2.004 s	2.828 s	-1.329 s	1.131 s	-2.965 s	-3.053 s	-2.648 s	-7.906 s	-7.283 s	-7.429 s	-17.275 s	-2.911 s	2.352 s	5.27 s	22.791 s	9.116 s	6.358 s
Q,GHG,TOTAL_HH,THS_T,AT	21475.939 s	18947.351 s	18577.52 s	22510.984 s	21814.51 s	18787.474 s	17704.195 s	20783.216 s	20767.378 s	17566.829 s	16925.843 s	20188.222 s	20194.251 s	17450.577 s	16775.038 s	19511.909 s	18517.868 s	16826.731 s	16259.149 s	18890.306 s	19257.859 s	16831.666 s	16448.512 s	19277.83 s	19152.078 s	16877.086 s	15851.63 s	19842.117 s	20558.577 s	17598.675 s	17056.439 s	19732.098 s	19883.231 s	16632.134 s	16202.151 s	19529.815 s	19470.713 s	18398.803 s	17840.015 s	19844.046 s	19339.812 s	14133.357 s	15864.382 s	18463.085 s	18309.565 s	17220.595 s	17060.695 s	20127.06 s
Q,GHG,TOTAL_HH,THS_T,BE	38314.647 s	32491.924 s	28788.822 s	36992.273 s	35709.781 s	29691.171 s	27424.828 s	32976.212 s	34637.65 s	29546.654 s	26578.002 s	32313.986 s	35298.249 s	29954.919 s	25168.72 s	31595.223 s	31656 s	27638.87 s	25482.19 s	31536.469 s	33996.636 s	28869.656 s	26674.706 s	31465.168 s	32898.012 s	28310.274 s	25346.802 s	33416.707 s	33351.477 s	28542.666 s	25151.563 s	32158.617 s	33613.415 s	27392.737 s	25674.343 s	32670.635 s	32308.042 s	28471.515 s	25770.272 s	32226.116 s	31992.979 s	23615.275 s	24611.753 s	30087.42 s	32451.909 s	29957.059 s	26357.299 s	33857.343 s
Q,GHG,TOTAL_HH,THS_T,BG	15111.796 s	13393.618 s	15392.687 s	17236.514 s	16507.294 s	15409.806 s	16081.489 s	18381.818 s	16643.711 s	13906.545 s	15157.612 s	15686.459 s	13704.106 s	11360.3 s	14097.57 s	16882.705 s	14885.24 s	13195.289 s	14759.211 s	16412.272 s	15289.113 s	14193.726 s	16282.114 s	17022.604 s	14523.615 s	13116.101 s	15174.113 s	17695.93 s	16049.459 s	14778.034 s	15732.328 s	16374.878 s	14438.068 s	13160.702 s	15015.649 s	16414.359 s	14946.148 s	13234.31 s	14381.065 s	15167.291 s	13728.557 s	11588.7 s	13238.721 s	14500.669 s	13832.048 s	13794.904 s	16245.725 s	18433.307 s
Q,GHG,TOTAL_HH,THS_T,CY	2626.981 s	2348.62 s	2706.414 s	2421.055 s	2572.612 s	2304.347 s	2373.541 s	2317.309 s	2412.954 s	2070.844 s	2371.554 s	2055.492 s	2003.985 s	1926.136 s	2120.866 s	2054.747 s	2100.561 s	1984.409 s	2237.173 s	2070.119 s	2083.19 s	1921.883 s	2216.069 s	2054.112 s	2168.801 s	2052.556 s	2358.761 s	2191.63 s	2400.988 s	2086.432 s	2382.294 s	2180.929 s	2268.749 s	2200.486 s	2403.695 s	2224.867 s	2268.617 s	2072.985 s	2395.764 s	2128.651 s	2285.753 s	1727.024 s	2437.709 s	2222.262 s	2214.081 s	2086.294 s	2494.056 s	2229.454 s
Q,GHG,TOTAL_HH,THS_T,CZ	35241.533 s	30209.392 s	30003.905 s	35024.076 s	34144.7 s	30128.377 s	29447.862 s	33811.752 s	34395.411 s	29895.734 s	27151.057 s	31976.97 s	32714.134 s	28033.225 s	26704.207 s	31357.037 s	31751.066 s	28015.218 s	26445.132 s	30941.413 s	31732.081 s	27721.197 s	26733.938 s	31026.689 s	31891.919 s	27857.177 s	27211.472 s	32689.836 s	32591.433 s	27508.161 s	26430.1 s	31664.449 s	32732.735 s	26683.173 s	27468.371 s	31710.501 s	30849.422 s	25979.399 s	25554.92 s	29887.044 s	30209.277 s	23563.268 s	24936.647 s	30767.821 s	31893.169 s	27178.339 s	27014.564 s	33347.934 s
Q,GHG,TOTAL_HH,THS_T,DE	272181.34 s	235752.841 s	223141.715 s	277091.541 s	268567.529 s	226610.573 s	221116.233 s	263267.09 s	273487.171 s	230750.435 s	221705.582 s	264974.251 s	281617.14 s	235155.535 s	227548.423 s	261724.793 s	259802.875 s	221751.292 s	216022.564 s	255575.825 s	264139.791 s	221685.517 s	225467.928 s	256449.505 s	263859.449 s	226435.926 s	216171.946 s	258858.035 s	269676.502 s	224188.867 s	216165.282 s	243542.449 s	257436.53 s	209958.027 s	213917.102 s	244229.744 s	241891.909 s	204671.363 s	196215.307 s	231717.815 s	221117.061 s	165795.184 s	182130.816 s	225953.979 s	228854.983 s	197216.711 s	189532.146 s	237846.482 s
Q,GHG,TOTAL_HH,THS_T,DK	26668.815 s	24222.875 s	23869.476 s	26854.897 s	27192.805 s	24579.492 s	23432.978 s	25232.721 s	25311.135 s	22810.521 s	21343.345 s	24041.092 s	25032.66 s	22911.186 s	21367.702 s	22643.276 s	22308.217 s	20742.218 s	20688.786 s	21886.187 s	22524.509 s	21505.13 s	19827.534 s	21887.721 s	23539.921 s	21417.856 s	20961.44 s	22858.626 s	23174.412 s	21819.02 s	21146.931 s	22713.295 s	23853.514 s	22369.439 s	21497.845 s	22762.94 s	21884.221 s	20630.147 s	19493.469 s	20885.641 s	21175.925 s	19077.098 s	19553.606 s	20638.089 s	21709.629 s	21507.552 s	21081.595 s	22381.714 s
Q,GHG,TOTAL_HH,THS_T,EE	5973.278 s	4948.825 s	5098.644 s	5984.504 s	5957.599 s	5040.889 s	5250.355 s	5574.799 s	5394.432 s	4868.072 s	5085.098 s	5816.343 s	6194.207 s	5592.219 s	5873.282 s	5702.191 s	5404.734 s	5523.509 s	5555.654 s	5769.937 s	5156.218 s	4531.697 s	4652.273 s	4779.976 s	4968.828 s	4352.451 s	5485.708 s	5755.024 s	5944.849 s	5435.888 s	5071.188 s	5368.936 s	5692.025 s	4966.067 s	5250.875 s	4901.369 s	4757.104 s	3598.072 s	3342.42 s	3508.328 s	2897.024 s	2534.213 s	3291.567 s	3342.743 s	3315.562 s	3003.773 s	3429.052 s	4268.145 s
Q,GHG,TOTAL_HH,THS_T,EL	33114.934 s	30721.798 s	33378.599 s	30974.997 s	32772.511 s	28966.127 s	31370.781 s	31664.283 s	33192.948 s	27878.16 s	30482.155 s	29494.982 s	26875.724 s	25966.693 s	28513.013 s	28220.842 s	27286.341 s	25404.388 s	26903.766 s	26868.879 s	26427.028 s	24162.929 s	26606.813 s	27194.412 s	25242.43 s	23374.297 s	25738.541 s	27734.971 s	27794.969 s	24858.648 s	27408.318 s	27599.076 s	26135.466 s	24789.542 s	27462.397 s	28027.924 s	27227.316 s	24509.327 s	25667.517 s	23883.012 s	24027.82 s	19058.963 s	22222.525 s	22131.62 s	21917.35 s	21949.362 s	25100.09 s	23821.571 s
Q,GHG,TOTAL_HH,THS_T,ES	91844.209 s	88345.347 s	88150.222 s	95923.272 s	94599.436 s	87571.367 s	88416.807 s	93140.355 s	96017.778 s	86329.292 s	84410.664 s	89663.072 s	81982.752 s	78673.213 s	80822.905 s	88284.591 s	80833.252 s	80447.395 s	84043.172 s	87784.686 s	87805.32 s	83173.155 s	85136.089 s	89046.292 s	83193.519 s	79297.011 s	81140.22 s	90804.912 s	87129.505 s	83706.734 s	83595.29 s	93537.881 s	87602.791 s	83473.416 s	82909.663 s	89026.142 s	84032.916 s	80538.818 s	78757.837 s	81913.58 s	74274.027 s	57436.555 s	69310.382 s	73553.689 s	70424.756 s	71418.747 s	71802.545 s	81184.163 s
Q,GHG,TOTAL_HH,THS_T,EU27_2020	1171642.068 s	1024765.235 s	993934.714 s	1186726.904 s	1165589.582 s	1001728.823 s	973377.305 s	1126591.235 s	1153089.021 s	984443.93 s	954941.293 s	1098379.895 s	1118900.352 s	960873.235 s	939333.628 s	1078674.334 s	1044864.314 s	932723.435 s	917771.873 s	1055199.715 s	1073820.888 s	940666.688 s	942127.495 s	1064058.871 s	1064877.099 s	941181.015 s	924344.043 s	1094983.335 s	1098259.04 s	958506.321 s	936177.063 s	1073650.807 s	1086565.689 s	921877.409 s	930295.653 s	1055025.966 s	1035493.739 s	913753.505 s	888273.222 s	1005297.679 s	963336.053 s	742019.027 s	833994.522 s	963758.064 s	973620.754 s	886091.693 s	880182.628 s	1041453.411 s
Q,GHG,TOTAL_HH,THS_T,FI	22483.502 s	18675.036 s	17153.726 s	21698.64 s	21831.727 s	17371.605 s	15102.274 s	17414.12 s	18365.968 s	15592.018 s	14514.599 s	17565.818 s	18454.101 s	15811.182 s	14977.087 s	17276.972 s	16804.812 s	14713.511 s	14316.803 s	16298.862 s	15829.219 s	14001.655 s	13213.013 s	15845.919 s	16893.104 s	14606.428 s	13639.35 s	17013.31 s	16390.398 s	14316.15 s	13089.401 s	15332.367 s	16617.419 s	13909.571 s	13856.985 s	15916.43 s	15756.934 s	13543.175 s	13106.413 s	14846.313 s	14011.811 s	11835.532 s	11650.844 s	13379.599 s	14416.873 s	12490.911 s	12323.748 s	14902.017 s
Q,GHG,TOTAL_HH,THS_T,FR	144616.5 s	122863.811 s	112801.27 s	141971.132 s	142506.494 s	116398.237 s	107687.479 s	131762.364 s	141294.61 s	117646.038 s	108930.963 s	131165.954 s	142158.353 s	118757.25 s	108576.544 s	130040.194 s	128009.898 s	111744.175 s	103735.737 s	124017.101 s	132663.659 s	110106.812 s	104453.962 s	123323.504 s	127887.673 s	112170.93 s	103823.811 s	128288.185 s	131358.196 s	111822.683 s	105083.492 s	126584.727 s	128659.851 s	106190.483 s	101692.305 s	120224.864 s	122927.664 s	108771.275 s	100780.647 s	116303.481 s	114493.024 s	83365.689 s	95799.705 s	112295.881 s	117476.277 s	104559.372 s	98341.21 s	119956.596 s
Q,GHG,TOTAL_HH,THS_T,HR	6950.532 s	6435.215 s	7257.807 s	7264.011 s	7031.636 s	6472.947 s	6861.149 s	7286.596 s	6931.209 s	5848.189 s	6430.018 s	6564.172 s	6219.812 s	5568.729 s	6161.685 s	6570.67 s	5980.042 s	5680.162 s	5755.495 s	6241.222 s	6034.6 s	5585.419 s	5994.088 s	6456.77 s	5941.916 s	5694.437 s	5950.55 s	6576.777 s	6320.819 s	5808.092 s	6191.89 s	6587.88 s	6107.477 s	5323.817 s	6082.181 s	6257.169 s	6099.365 s	5499.187 s	6046.932 s	6170.685 s	5986.433 s	5129.176 s	5959.012 s	6230.223 s	6147.754 s	5847.42 s	6608.392 s	6618.055 s
Q,GHG,TOTAL_HH,THS_T,HU	19292.295 s	16242.017 s	15820.658 s	20630.857 s	19588.873 s	15965.794 s	15588.581 s	19743.816 s	18174.556 s	14167.993 s	14948.151 s	17821.946 s	16883.784 s	14083.192 s	14292.213 s	17471.243 s	16230.372 s	14510.14 s	14980.053 s	18014.905 s	17599.376 s	15091.21 s	15615.476 s	18857.484 s	17376.544 s	15087.163 s	15815.058 s	19226.739 s	18467.453 s	15467.68 s	16297.409 s	19873.716 s	19155.148 s	15373.68 s	16260.077 s	19529.767 s	18320.86 s	15659.712 s	16185.657 s	19024.359 s	18553.292 s	13927.211 s	16030.634 s	19185.021 s	17920.483 s	17121.971 s	17341.416 s	21466.107 s
Q,GHG,TOTAL_HH,THS_T,IE	18778.704 s	17160.559 s	15802.953 s	17852.89 s	17927.132 s	16316.083 s	15526.41 s	16538.542 s	17318.131 s	17027.79 s	15684.895 s	17372.261 s	18032.357 s	16962.852 s	15814.523 s	16962.855 s	17418.862 s	16934.259 s	16113.057 s	16981.363 s	18194.45 s	17433.938 s	16963.904 s	17465.399 s	19089.336 s	18625.286 s	17810.501 s	19501.623 s	19726.116 s	18973.935 s	18689.782 s	19990.295 s	20714.961 s	19784.651 s	18868.084 s	19617.169 s	18805.603 s	19613.055 s	18636.012 s	19604.222 s	18605.913 s	13506.359 s	16266.571 s	16279.356 s	15631.783 s	16373.193 s	17977.927 s	18531.309 s
Q,GHG,TOTAL_HH,THS_T,IT	144543.668 s	123288.863 s	119958.668 s	143304.932 s	145367.766 s	120954.148 s	117137.464 s	136234.76 s	141820.011 s	117051.396 s	112976.783 s	126453.829 s	131141.998 s	105192.605 s	103995 s	121390.139 s	119975.265 s	102423.111 s	99946.896 s	117582.147 s	123150.307 s	103880.52 s	104610.955 s	122276.304 s	124513.675 s	102590.252 s	101096.147 s	123015.803 s	123928.92 s	103622.524 s	100085.714 s	122844.537 s	125704.807 s	100108.847 s	100354.822 s	118129.128 s	121320.101 s	103048.145 s	99374.737 s	112275.112 s	110309.839 s	79041.265 s	94631.77 s	109325.077 s	112822.415 s	98510.158 s	97361.076 s	118404.109 s
Q,GHG,TOTAL_HH,THS_T,LT	5896.177 s	5239.936 s	5651.281 s	6074.166 s	5695.566 s	5704.654 s	6131.366 s	5978.496 s	5742.811 s	5467.345 s	6252.549 s	5877.62 s	5304.307 s	5240.66 s	6137.598 s	5451.325 s	5238.072 s	5281.662 s	6093.696 s	5703.412 s	5258.479 s	5830.398 s	6163.621 s	5770.964 s	5312.762 s	5937.366 s	6140.353 s	5867.62 s	5512.476 s	5958.77 s	6501.87 s	6354.201 s	5872.499 s	6303.836 s	6695.179 s	6254.762 s	5952.695 s	6434.472 s	6783.277 s	6444.311 s	5876.17 s	6156.29 s	6930.068 s	6285.531 s	5854.751 s	6553.038 s	7287.16 s	6840.615 s
Q,GHG,TOTAL_HH,THS_T,LU	2744.849 s	2431.931 s	2293.417 s	2735.218 s	2676.093 s	2279.709 s	1867.124 s	2414.828 s	2555.177 s	2267.497 s	2036.145 s	2404.972 s	2583.453 s	2172.732 s	1974.35 s	2539.682 s	2490.273 s	2178.756 s	2004.026 s	2566.982 s	2961.177 s	2426.676 s	2262.914 s	2595.38 s	2707.498 s	2443.934 s	2266.21 s	2707.236 s	2717.155 s	2475.23 s	2338.071 s	2673.498 s	2729.513 s	2339.402 s	2302.61 s	2876.105 s	2580.274 s	2550.234 s	2657.082 s	2929.561 s	2604.225 s	2487.404 s	2265.275 s	2581.901 s	2607.235 s	2461.081 s	2229.22 s	2649.742 s
Q,GHG,TOTAL_HH,THS_T,LV	3742.256 s	2939.747 s	3249.489 s	3542.924 s	3408.104 s	2850.675 s	2988.901 s	3290.037 s	3273.225 s	2698.434 s	3122.465 s	3151.484 s	3175.243 s	2636.666 s	3074.435 s	3195.866 s	2927.802 s	2971.516 s	3044.968 s	3247.71 s	2878.122 s	2904.578 s	3266.426 s	3326.125 s	2971.801 s	2919.24 s	3062.665 s	3354.273 s	3155.8 s	3054.863 s	3145.67 s	3223.933 s	3271.511 s	3068.004 s	3329.545 s	3432.065 s	3020.214 s	3189.827 s	3657.685 s	3267.183 s	2858.529 s	2936.395 s	3155.543 s	3126.928 s	3110.377 s	3086.181 s	3670.951 s	3539.68 s
Q,GHG,TOTAL_HH,THS_T,MT	813.132 s	802.89 s	909.711 s	800.212 s	807.887 s	791.231 s	930.099 s	809.965 s	867.523 s	844.347 s	998.52 s	820.738 s	808.625 s	773.825 s	878.22 s	778.62 s	798.367 s	796.678 s	904.311 s	795.787 s	820.859 s	616.994 s	628.987 s	561.941 s	560.472 s	530.74 s	619.523 s	548.698 s	579.896 s	597.088 s	695.539 s	603.557 s	619.338 s	612.76 s	691.706 s	633.651 s	654.665 s	699.8 s	736.028 s	644.966 s	641.853 s	498.617 s	589.161 s	488.718 s	512.875 s	586.411 s	659.241 s	600.775 s
Q,GHG,TOTAL_HH,THS_T,NL	63002.276 s	54540.718 s	50375.088 s	62748.641 s	60290.584 s	51091.776 s	48008.755 s	57819.096 s	59487.883 s	50650.28 s	47260.264 s	57051.821 s	59246.714 s	51334.748 s	47171.049 s	56842.727 s	54927.539 s	49836.938 s	47515.831 s	56404.764 s	58165.992 s	51809.31 s	49352.973 s	56367.082 s	57458.638 s	51062.093 s	48209.447 s	58531.867 s	57892.71 s	50925.167 s	46895.908 s	55936.629 s	57742.63 s	48885.021 s	46004.034 s	53346.606 s	56303.36 	45614.761 	42514.035 	55794.395 	51803.575 	38059.944 	41385.156 	48175.232 	50469.78 	42766.352 	40386.207 	49165.476 
Q,GHG,TOTAL_HH,THS_T,PL	113489.531 s	96582.352 s	95101.131 s	118062.981 s	115613.816 s	98626.399 s	94506.36 s	113106.933 s	113411.967 s	95956.08 s	93214.486 s	112282.903 s	112182.168 s	94981.646 s	93463.746 s	110054.168 s	105302.966 s	93550.072 s	91796.488 s	108713.024 s	105646.873 s	94459.408 s	92618.259 s	108846.276 s	108222.193 s	95666.489 s	94685.738 s	115671.581 s	115492.192 s	101265.998 s	99461.223 s	115729.552 s	117630.96 s	97385.124 s	99534.639 s	114622.461 s	109247.646 s	96931.815 s	94970.492 s	108233.151 s	104785.621 s	87234.488 s	91696.686 s	107807.716 s	110335.531 s	99911.861 s	102274.658 s	120282.364 s
Q,GHG,TOTAL_HH,THS_T,PT	17097.202 s	17168.473 s	18608.288 s	18556.522 s	17570.172 s	16990.502 s	17821.15 s	17688.105 s	17690.339 s	16410.592 s	17938.751 s	16450.17 s	16845.216 s	16248.543 s	16564.422 s	16895.793 s	15781.546 s	16184.755 s	17226.991 s	17238.43 s	17464.609 s	17288.781 s	17942.039 s	17664.278 s	16350.841 s	16164.511 s	17816.503 s	17703.092 s	18190.294 s	17958.898 s	18640.338 s	18122.631 s	17387.386 s	16814.474 s	18129.26 s	17194.5 s	16271.652 s	16441.912 s	16716.409 s	16798.477 s	16256.083 s	12896.543 s	16241.586 s	16285.516 s	15137.305 s	15826.371 s	16306.867 s	16955.534 s
Q,GHG,TOTAL_HH,THS_T,RO	29212.447 s	27089.926 s	28991.698 s	34137.975 s	30445.945 s	29499.803 s	30783.349 s	36808.185 s	31086.841 s	27974.239 s	30948.474 s	35105.695 s	28060.947 s	25420.892 s	28929.513 s	34103.72 s	28522.262 s	26215.803 s	28661.1 s	33440.153 s	27759.011 s	25927.332 s	30914.834 s	33597.314 s	27535.788 s	25990.005 s	29308.979 s	33022.099 s	29127.736 s	26944.366 s	30087.579 s	33468.333 s	29764.448 s	26189.258 s	30228.928 s	34618.144 s	28585.673 s	26015.545 s	29319.144 s	32684.377 s	28208.927 s	22681.563 s	27994.357 s	32228.656 s	28585.019 s	27914.196 s	30381.822 s	34525.798 s
Q,GHG,TOTAL_HH,THS_T,SE	19222.258 	16474.464 	15348.197 	18642.281 	17744.8 	15565.37 	14608.532 	15800.361 	16333.443 	14577.396 	13963.586 	15773.734 	16212.453 	14575.93 	13941.079 	14785.553 	14981.068 	14369.778 	13989.186 	15029.7 	15901.576 	14682.755 	14107.193 	15438.843 	15626.897 	14507.344 	14289.706 	15590.064 	14879.305 	14309.051 	14071.901 	15013.287 	14769.363 	13952.945 	13573.719 	14617.742 	14493.691 	13601.506 	13442.505 	13799.329 	12872.19 	11988.554 	12108.333 	12752.169 	12422.336 	12742.151 	12524.572 	13064.092 
Q,GHG,TOTAL_HH,THS_T,SI	5381.813 s	4624.273 s	4847.545 s	5531.345 s	5456.726 s	4830.598 s	4760.782 s	5253.616 s	5294.447 s	4684.553 s	4622.757 s	4940.036 s	4886.953 s	4198.182 s	4707.002 s	5056.654 s	4588.785 s	4302.785 s	4148.715 s	4224.247 s	4486.651 s	4286.091 s	4474.862 s	4480.439 s	4562.314 s	4352.039 s	4684.151 s	5160.579 s	5040.565 s	4555.611 s	4756.124 s	4855.486 s	5049.384 s	4214.609 s	4770.902 s	5016.959 s	4743.718 s	4498.529 s	4608.933 s	4894.706 s	4447.469 s	3855.841 s	4644.289 s	5002.513 s	4748.524 s	4321.316 s	4518.178 s	5109.108 s
Q,GHG,TOTAL_HH,THS_T,SK	11821.454 s	10822.436 s	10655.785 s	12158.062 s	11787.485 s	10929.668 s	10448.461 s	11491.86 s	11180.311 s	9956.654 s	9886.977 s	11365.873 s	11086.657 s	9889.601 s	9683.437 s	11280.838 s	10340.229 s	9500.016 s	9141.723 s	10963.813 s	10594.182 s	9738.256 s	9498.012 s	10980.542 s	10427.074 s	9742.023 s	9684.718 s	11356.002 s	10806.838 s	9927.091 s	10005.42 s	11583.572 s	11112.469 s	9795.204 s	10118.584 s	11240.148 s	10773.215 s	9535.815 s	9318.649 s	10421.528 s	9972.862 s	7888.52 s	9047.42 s	10666.65 s	10498.382 s	9686.372 s	9872.216 s	11344.86 s
Q,GHG,TOTAL_HH,T_HAB,AT	2.571 s	2.267 s	2.222 s	2.689 s	2.604 s	2.241 s	2.11 s	2.473 s	2.469 s	2.087 s	2.008 s	2.39 s	2.388 s	2.061 s	1.977 s	2.295 s	2.174 s	1.972 s	1.901 s	2.203 s	2.241 s	1.955 s	1.904 s	2.221 s	2.198 s	1.933 s	1.812 s	2.263 s	2.342 s	2.003 s	1.938 s	2.238 s	2.253 s	1.884 s	1.832 s	2.206 s	2.197 s	2.074 s	2.009 s	2.231 s	2.172 s	1.586 s	1.778 s	2.067 s	2.049 s	1.925 s	1.904 s	2.242 s
Q,GHG,TOTAL_HH,T_HAB,BE	3.529 s	2.987 s	2.639 s	3.381 s	3.245 s	2.693 s	2.481 s	2.979 s	3.124 s	2.663 s	2.392 s	2.902 s	3.167 s	2.687 s	2.254 s	2.826 s	2.83 s	2.468 s	2.272 s	2.806 s	3.022 s	2.563 s	2.365 s	2.784 s	2.908 s	2.5 s	2.236 s	2.944 s	2.936 s	2.511 s	2.21 s	2.822 s	2.947 s	2.399 s	2.246 s	2.853 s	2.818 s	2.48 s	2.242 s	2.798 s	2.773 s	2.047 s	2.132 s	2.603 s	2.806 s	2.587 s	2.273 s	2.914 s
Q,GHG,TOTAL_HH,T_HAB,BG	2 s	1.776 s	2.045 s	2.295 s	2.221 s	2.095 s	2.188 s	2.506 s	2.274 s	1.903 s	2.076 s	2.151 s	1.882 s	1.562 s	1.94 s	2.327 s	2.055 s	1.823 s	2.043 s	2.276 s	2.123 s	1.973 s	2.265 s	2.374 s	2.031 s	1.835 s	2.126 s	2.486 s	2.261 s	2.084 s	2.221 s	2.318 s	2.049 s	1.869 s	2.133 s	2.338 s	2.136 s	1.892 s	2.057 s	2.176 s	1.975 s	1.668 s	1.911 s	2.097 s	2 s	1.998 s	2.356 s	2.681 s
Q,GHG,TOTAL_HH,T_HAB,CY	3.199 s	2.845 s	3.256 s	2.892 s	3.056 s	2.722 s	2.783 s	2.696 s	2.798 s	2.398 s	2.743 s	2.375 s	2.317 s	2.232 s	2.463 s	2.392 s	2.453 s	2.324 s	2.625 s	2.438 s	2.465 s	2.279 s	2.622 s	2.423 s	2.557 s	2.418 s	2.77 s	2.567 s	2.806 s	2.431 s	2.763 s	2.524 s	2.62 s	2.532 s	2.753 s	2.541 s	2.589 s	2.36 s	2.711 s	2.399 s	2.571 s	1.938 s	2.73 s	2.483 s	2.468 s	2.32 s	2.767 s	2.467 s
Q,GHG,TOTAL_HH,T_HAB,CZ	3.354 s	2.874 s	2.852 s	3.326 s	3.255 s	2.871 s	2.805 s	3.218 s	3.274 s	2.845 s	2.582 s	3.041 s	3.111 s	2.667 s	2.54 s	2.982 s	3.019 s	2.663 s	2.512 s	2.937 s	3.011 s	2.63 s	2.535 s	2.941 s	3.021 s	2.638 s	2.575 s	3.091 s	3.081 s	2.599 s	2.495 s	2.986 s	3.085 s	2.513 s	2.583 s	2.979 s	2.896 s	2.437 s	2.394 s	2.796 s	2.825 s	2.203 s	2.329 s	2.874 s	2.981 s	2.541 s	2.526 s	3.118 s
Q,GHG,TOTAL_HH,T_HAB,DE	3.39 s	2.937 s	2.78 s	3.451 s	3.348 s	2.824 s	2.754 s	3.277 s	3.404 s	2.871 s	2.756 s	3.29 s	3.496 s	2.919 s	2.821 s	3.239 s	3.214 s	2.741 s	2.666 s	3.148 s	3.246 s	2.72 s	2.759 s	3.123 s	3.21 s	2.751 s	2.624 s	3.138 s	3.267 s	2.713 s	2.614 s	2.942 s	3.109 s	2.534 s	2.579 s	2.941 s	2.913 s	2.464 s	2.361 s	2.786 s	2.659 s	1.994 s	2.19 s	2.716 s	2.752 s	2.372 s	2.278 s	2.856 s
